"","GEOID","NAME","B28010_001E","B28010_001M","B28010_002E","B28010_002M","B28010_003E","B28010_003M","B28010_004E","B28010_004M","B28010_005E","B28010_005M","B28010_006E","B28010_006M","B28010_007E","B28010_007M"
"198","16027","Canyon County, Idaho",82667,1276,78948,1772,66610,2428,2274,1014,76674,1803,12338,2015,3719,1220
"199","16055","Kootenai County, Idaho",67771,2325,65227,2620,55434,2876,2325,848,62902,2790,9793,2147,2544,893
"200","16083","Twin Falls County, Idaho",34311,945,32426,1224,25732,1951,472,299,31954,1272,6694,1768,1885,847
"201","17019","Champaign County, Illinois",84248,2037,81324,2362,72612,2551,1423,414,79901,2468,8712,1756,2924,957
"202","17031","Cook County, Illinois",2072143,8684,1968259,9554,1694078,10382,51970,3517,1916289,9901,274181,9007,103884,5872
"203","17037","DeKalb County, Illinois",38916,1154,37329,1295,32373,1807,1485,785,35844,1399,4956,1188,1587,576
"204","17043","DuPage County, Illinois",350639,2421,341465,2886,311470,3717,8660,1494,332805,3044,29995,2532,9174,1427
"205","17089","Kane County, Illinois",183427,1916,177050,2643,160015,3110,3756,1036,173294,2585,17035,2292,6377,1685
"206","17091","Kankakee County, Illinois",41020,1343,38798,1463,31021,1590,1154,600,37644,1517,7777,1423,2222,791
"207","17093","Kendall County, Illinois",44208,1313,43764,1295,37155,2357,336,217,43428,1325,6609,2077,444,285
"208","17097","Lake County, Illinois",254744,2462,246459,2678,219609,3296,5684,1099,240775,2898,26850,2722,8285,1318
"209","17099","LaSalle County, Illinois",44972,1348,41659,1590,33498,1901,989,360,40670,1662,8161,1347,3313,851
"210","17111","McHenry County, Illinois",116768,1172,114089,1297,101451,2299,3410,854,110679,1479,12638,2077,2679,787
"211","17113","McLean County, Illinois",69263,1481,66811,1761,58993,2316,1726,572,65085,1710,7818,1556,2452,884
"212","17115","Macon County, Illinois",43914,1181,40770,1391,31316,1535,1654,620,39116,1497,9454,1291,3144,841
"213","17119","Madison County, Illinois",109818,1839,102797,2070,86688,2334,3761,823,99036,2252,16109,1861,7021,1308
"214","17143","Peoria County, Illinois",79307,1430,76083,1752,62494,2530,2240,618,73843,1945,13589,1961,3224,972
"215","17161","Rock Island County, Illinois",60187,1464,56191,1630,45642,2057,1840,603,54351,1715,10549,1482,3996,1052
"216","17163","St. Clair County, Illinois",98926,2449,93649,2536,79530,2770,2824,704,90825,2746,14119,2128,5277,1144
"217","17167","Sangamon County, Illinois",84414,1678,79533,1951,64398,2423,2657,649,76876,2012,15135,2222,4881,1188
"218","17179","Tazewell County, Illinois",55208,1183,51685,1360,42985,1797,1872,595,49813,1377,8700,1312,3523,949
"219","17183","Vermilion County, Illinois",29007,1260,25580,1251,17571,1415,883,317,24697,1324,8009,1183,3427,761
